error_code	en	es	de	fr	pt	ja	ko	zh-CN	ar	ru
APP_UNAVAILABLE	The app is not available on this device.	La aplicación no está disponible en este dispositivo.	Die App ist auf diesem Gerät nicht verfügbar.	L'application n'est pas disponible sur cet appareil.	O aplicativo não está disponível neste dispositivo.	このデバイスではアプリが利用できません。	이 기기에서는 앱을 사용할 수 없습니다.	此设备不支持该应用。	التطبيق غير متاح على هذا الجهاز.	Приложение недоступно на этом устройстве.
PACK_UNAVAILABLE	The requested content pack is not available.	El paquete de contenido solicitado no está disponible.	Das angeforderte Inhaltspaket ist nicht verfügbar.	Le pack de contenu demandé n'est pas disponible.	O pacote de conteúdo solicitado não está disponível.	リクエストされたコンテンツパックが利用できません。	요청한 콘텐츠 팩을 사용할 수 없습니다.	请求的内容包不可用。	حزمة المحتوى المطلوبة غير متاحة.	Запрошенный пакет контента недоступен.
INVALID_REQUEST	The download request is invalid. Please restart the app.	La solicitud de descarga no es válida. Reinicie la aplicación.	Die Download-Anfrage ist ungültig. Bitte starten Sie die App neu.	La demande de téléchargement est invalide. Veuillez redémarrer l'application.	A solicitação de download é inválida. Por favor, reinicie o aplicativo.	ダウンロードリクエストが無効です。アプリを再起動してください。	다운로드 요청이 유효하지 않습니다. 앱을 다시 시작해 주세요.	下载请求无效，请重启应用。	طلب التنزيل غير صالح. يرجى إعادة تشغيل التطبيق.	Запрос на загрузку недействителен. Перезапустите приложение.
DOWNLOAD_NOT_FOUND	Download session not found. Please try again.	Sesión de descarga no encontrada. Inténtelo de nuevo.	Download-Sitzung nicht gefunden. Bitte versuchen Sie es erneut.	Session de téléchargement introuvable. Veuillez réessayer.	Sessão de download não encontrada. Por favor, tente novamente.	ダウンロードセッションが見つかりません。もう一度お試しください。	다운로드 세션을 찾을 수 없습니다. 다시 시도해 주세요.	未找到下载会话，请重试。	لم يتم العثور على جلسة التنزيل. يرجى المحاولة مرة أخرى.	Сессия загрузки не найдена. Попробуйте ещё раз.
API_NOT_AVAILABLE	Asset Delivery is not available on this device.	La entrega de recursos no está disponible en este dispositivo.	Asset Delivery ist auf diesem Gerät nicht verfügbar.	La livraison de ressources n'est pas disponible sur cet appareil.	A entrega de assets não está disponível neste dispositivo.	このデバイスではアセット配信が利用できません。	이 기기에서는 에셋 전송을 사용할 수 없습니다.	此设备不支持资产交付。	تسليم الأصول غير متاح على هذا الجهاز.	Доставка ресурсов недоступна на этом устройстве.
NETWORK_ERROR	A network error occurred. Please check your connection and try again.	Se produjo un error de red. Compruebe su conexión e inténtelo de nuevo.	Ein Netzwerkfehler ist aufgetreten. Überprüfen Sie Ihre Verbindung und versuchen Sie es erneut.	Une erreur réseau s'est produite. Vérifiez votre connexion et réessayez.	Ocorreu um erro de rede. Verifique sua conexão e tente novamente.	ネットワークエラーが発生しました。接続を確認して、もう一度お試しください。	네트워크 오류가 발생했습니다. 연결을 확인하고 다시 시도해 주세요.	发生网络错误，请检查您的连接后重试。	حدث خطأ في الشبكة. يرجى التحقق من اتصالك والمحاولة مرة أخرى.	Произошла сетевая ошибка. Проверьте подключение и попробуйте снова.
ACCESS_DENIED	Access to this content is restricted.	El acceso a este contenido está restringido.	Der Zugriff auf diesen Inhalt ist eingeschränkt.	L'accès à ce contenu est restreint.	O acesso a este conteúdo está restrito.	このコンテンツへのアクセスは制限されています。	이 콘텐츠에 대한 접근이 제한되어 있습니다.	对此内容的访问受到限制。	الوصول إلى هذا المحتوى مقيد.	Доступ к этому контенту ограничен.
INSUFFICIENT_STORAGE	Not enough storage space. Free up space and try again.	No hay suficiente espacio de almacenamiento. Libere espacio e inténtelo de nuevo.	Nicht genügend Speicherplatz. Geben Sie Speicher frei und versuchen Sie es erneut.	Espace de stockage insuffisant. Libérez de l'espace et réessayez.	Armazenamento insuficiente. Libere espaço e tente novamente.	ストレージ容量が不足しています。容量を解放して、もう一度お試しください。	저장 공간이 부족합니다. 공간을 확보하고 다시 시도해 주세요.	存储空间不足，请释放空间后重试。	مساحة التخزين غير كافية. قم بتحرير مساحة وحاول مرة أخرى.	Недостаточно места. Освободите место и попробуйте снова.
APP_NOT_OWNED	This content is not available for your account.	Este contenido no está disponible para su cuenta.	Dieser Inhalt ist für Ihr Konto nicht verfügbar.	Ce contenu n'est pas disponible pour votre compte.	Este conteúdo não está disponível para a sua conta.	このコンテンツはお客様のアカウントでは利用できません。	이 콘텐츠는 귀하의 계정에서 사용할 수 없습니다.	此内容不适用于您的账户。	هذا المحتوى غير متاح لحسابك.	Этот контент недоступен для вашей учётной записи.
CONFIRMATION_NOT_REQUIRED	No confirmation is needed for this download.	No se necesita confirmación para esta descarga.	Für diesen Download ist keine Bestätigung erforderlich.	Aucune confirmation n'est nécessaire pour ce téléchargement.	Nenhuma confirmação é necessária para este download.	このダウンロードには確認は必要ありません。	이 다운로드에는 확인이 필요하지 않습니다.	此下载无需确认。	لا يلزم تأكيد لهذا التنزيل.	Подтверждение для этой загрузки не требуется.
INTERNAL_ERROR	An internal error occurred. Please restart the app.	Se produjo un error interno. Reinicie la aplicación.	Ein interner Fehler ist aufgetreten. Bitte starten Sie die App neu.	Une erreur interne s'est produite. Veuillez redémarrer l'application.	Ocorreu um erro interno. Por favor, reinicie o aplicativo.	内部エラーが発生しました。アプリを再起動してください。	내부 오류가 발생했습니다. 앱을 다시 시작해 주세요.	发生内部错误，请重启应用。	حدث خطأ داخلي. يرجى إعادة تشغيل التطبيق.	Произошла внутренняя ошибка. Перезапустите приложение.
STUCK_AT_ZERO	Download stalled. Check your connection and try again.	La descarga se ha atascado. Compruebe su conexión e inténtelo de nuevo.	Download hat sich aufgehängt. Überprüfen Sie Ihre Verbindung und versuchen Sie es erneut.	Le téléchargement est bloqué. Vérifiez votre connexion et réessayez.	O download travou. Verifique sua conexão e tente novamente.	ダウンロードが停止しています。接続を確認して、もう一度お試しください。	다운로드가 중단되었습니다. 연결을 확인하고 다시 시도해 주세요.	下载卡住了，请检查连接后重试。	توقف التنزيل. يرجى التحقق من اتصالك والمحاولة مرة أخرى.	Загрузка зависла. Проверьте подключение и попробуйте снова.
